
--------------------------------------------------

Barrel_Shifter_32_Bit - Test

--------------------------------------------------


--------------------------------------------------

All Operations

--------------------------------------------------


--------------------------------------------------

[          20.000 ns] : Enable_In = 0x0 , Shift_Operation_In = 0x0 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x0 , Data_In = 0xc0895e81 , Shifted_Data_Out = 0xzzzzzzzz , Carry_Out = 0xz , tb_Shifted_Data_Out = 0xzzzzzzzz , tb_Carry_Out = 0xz , Is_Same = 1
[        4880.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x7 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x1 , Data_In = 0xcab47c95 , Shifted_Data_Out = 0x79568f92 , Carry_Out = 0x1 , tb_Shifted_Data_Out = 0x79568f92 , tb_Carry_Out = 0x1 , Is_Same = 1
[        4900.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x7 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x0 , Data_In = 0x304e4d60 , Shifted_Data_Out = 0x304e4d60 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x304e4d60 , tb_Carry_Out = 0x0 , Is_Same = 1
[        4920.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x7 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x1 , Data_In = 0x9420ea28 , Shifted_Data_Out = 0xca107514 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xca107514 , tb_Carry_Out = 0x0 , Is_Same = 1
[        4940.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x7 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x0 , Data_In = 0x14b43729 , Shifted_Data_Out = 0x852d0dca , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x852d0dca , tb_Carry_Out = 0x0 , Is_Same = 1
[        4960.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x7 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x1 , Data_In = 0xbbbc5277 , Shifted_Data_Out = 0xf7778a4e , Carry_Out = 0x1 , tb_Shifted_Data_Out = 0xf7778a4e , tb_Carry_Out = 0x1 , Is_Same = 1
[        4980.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x7 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x0 , Data_In = 0x40aaf581 , Shifted_Data_Out = 0x40aaf581 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x40aaf581 , tb_Carry_Out = 0x0 , Is_Same = 1
[        5000.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x7 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x1 , Data_In = 0x3437d568 , Shifted_Data_Out = 0x9a1beab4 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x9a1beab4 , tb_Carry_Out = 0x0 , Is_Same = 1
[        5020.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x7 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x0 , Data_In = 0xd57800aa , Shifted_Data_Out = 0x355e002a , Carry_Out = 0x1 , tb_Shifted_Data_Out = 0x355e002a , tb_Carry_Out = 0x1 , Is_Same = 1
[        5040.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x7 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x1 , Data_In = 0xf8dc48f1 , Shifted_Data_Out = 0x7f1b891e , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x7f1b891e , tb_Carry_Out = 0x0 , Is_Same = 1
[        5060.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x7 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x1 , Data_In = 0x472e958e , Shifted_Data_Out = 0x472e958e , Carry_Out = 0x1 , tb_Shifted_Data_Out = 0x472e958e , tb_Carry_Out = 0x1 , Is_Same = 1
[        5080.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x7 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x0 , Data_In = 0x1e664d3c , Shifted_Data_Out = 0x0f33269e , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x0f33269e , tb_Carry_Out = 0x0 , Is_Same = 1
[        5100.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x7 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x1 , Data_In = 0x77ebb1ef , Shifted_Data_Out = 0xddfaec7b , Carry_Out = 0x1 , tb_Shifted_Data_Out = 0xddfaec7b , tb_Carry_Out = 0x1 , Is_Same = 1
[        5120.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x7 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x1 , Data_In = 0xd7a23caf , Shifted_Data_Out = 0xfaf44795 , Carry_Out = 0x1 , tb_Shifted_Data_Out = 0xfaf44795 , tb_Carry_Out = 0x1 , Is_Same = 1
[        5140.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x7 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x0 , Data_In = 0x5cd20db9 , Shifted_Data_Out = 0x5cd20db9 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x5cd20db9 , tb_Carry_Out = 0x0 , Is_Same = 1
[        5160.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x7 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x1 , Data_In = 0x09c83513 , Shifted_Data_Out = 0x84e41a89 , Carry_Out = 0x1 , tb_Shifted_Data_Out = 0x84e41a89 , tb_Carry_Out = 0x1 , Is_Same = 1
[        5180.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x7 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x1 , Data_In = 0x28c62751 , Shifted_Data_Out = 0xca3189d4 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xca3189d4 , tb_Carry_Out = 0x0 , Is_Same = 1
[        5200.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x7 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x1 , Data_In = 0xcc981099 , Shifted_Data_Out = 0x79930213 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x79930213 , tb_Carry_Out = 0x0 , Is_Same = 1
[        5220.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x7 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x0 , Data_In = 0xb8ea3a71 , Shifted_Data_Out = 0xb8ea3a71 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xb8ea3a71 , tb_Carry_Out = 0x0 , Is_Same = 1
[        5240.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x7 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x0 , Data_In = 0xf2356ae4 , Shifted_Data_Out = 0x791ab572 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x791ab572 , tb_Carry_Out = 0x0 , Is_Same = 1
[        5260.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x7 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x0 , Data_In = 0xbeda447d , Shifted_Data_Out = 0xafb6911f , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xafb6911f , tb_Carry_Out = 0x0 , Is_Same = 1
[        5280.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x7 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x1 , Data_In = 0x72c3a3e5 , Shifted_Data_Out = 0x6e58747c , Carry_Out = 0x1 , tb_Shifted_Data_Out = 0x6e58747c , tb_Carry_Out = 0x1 , Is_Same = 1

--------------------------------------------------


--------------------------------------------------

Random Combinations

--------------------------------------------------

[        5340.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x1 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x1 , Data_In = 0xeda71cdb , Shifted_Data_Out = 0x76d38e6d , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x76d38e6d , tb_Carry_Out = 0x0 , Is_Same = 1
[        5360.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x0 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x0 , Data_In = 0x5e983dbd , Shifted_Data_Out = 0x7a60f6f4 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x7a60f6f4 , tb_Carry_Out = 0x0 , Is_Same = 1
[        5380.000 ns] : Enable_In = 0x0 , Shift_Operation_In = 0x4 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x1 , Data_In = 0x929d5825 , Shifted_Data_Out = 0xzzzzzzzz , Carry_Out = 0xz , tb_Shifted_Data_Out = 0xzzzzzzzz , tb_Carry_Out = 0xz , Is_Same = 1
[        5400.000 ns] : Enable_In = 0x0 , Shift_Operation_In = 0x6 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x1 , Data_In = 0x3cb3ab79 , Shifted_Data_Out = 0xzzzzzzzz , Carry_Out = 0xz , tb_Shifted_Data_Out = 0xzzzzzzzz , tb_Carry_Out = 0xz , Is_Same = 1
[        5420.000 ns] : Enable_In = 0x0 , Shift_Operation_In = 0x3 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x1 , Data_In = 0x0671030c , Shifted_Data_Out = 0xzzzzzzzz , Carry_Out = 0xz , tb_Shifted_Data_Out = 0xzzzzzzzz , tb_Carry_Out = 0xz , Is_Same = 1
[        5440.000 ns] : Enable_In = 0x0 , Shift_Operation_In = 0x4 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x1 , Data_In = 0xd9b8c0b3 , Shifted_Data_Out = 0xzzzzzzzz , Carry_Out = 0xz , tb_Shifted_Data_Out = 0xzzzzzzzz , tb_Carry_Out = 0xz , Is_Same = 1
[        5460.000 ns] : Enable_In = 0x0 , Shift_Operation_In = 0x5 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x1 , Data_In = 0x01729302 , Shifted_Data_Out = 0xzzzzzzzz , Carry_Out = 0xz , tb_Shifted_Data_Out = 0xzzzzzzzz , tb_Carry_Out = 0xz , Is_Same = 1
[        5480.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x5 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x0 , Data_In = 0x5c7951b8 , Shifted_Data_Out = 0x171e546e , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x171e546e , tb_Carry_Out = 0x0 , Is_Same = 1
[        5500.000 ns] : Enable_In = 0x0 , Shift_Operation_In = 0x5 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x0 , Data_In = 0x48590990 , Shifted_Data_Out = 0xzzzzzzzz , Carry_Out = 0xz , tb_Shifted_Data_Out = 0xzzzzzzzz , tb_Carry_Out = 0xz , Is_Same = 1
[        5520.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x4 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x0 , Data_In = 0x12a90325 , Shifted_Data_Out = 0x95481928 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x95481928 , tb_Carry_Out = 0x0 , Is_Same = 1
[        5540.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x0 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x1 , Data_In = 0x5e2551bc , Shifted_Data_Out = 0xbc4aa378 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xbc4aa378 , tb_Carry_Out = 0x0 , Is_Same = 1
[        5560.000 ns] : Enable_In = 0x0 , Shift_Operation_In = 0x0 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x1 , Data_In = 0x26bf3f4d , Shifted_Data_Out = 0xzzzzzzzz , Carry_Out = 0xz , tb_Shifted_Data_Out = 0xzzzzzzzz , tb_Carry_Out = 0xz , Is_Same = 1
[        5580.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x5 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x0 , Data_In = 0xb558a66a , Shifted_Data_Out = 0x5aac5335 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x5aac5335 , tb_Carry_Out = 0x0 , Is_Same = 1
[        5600.000 ns] : Enable_In = 0x0 , Shift_Operation_In = 0x0 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x0 , Data_In = 0x23400b46 , Shifted_Data_Out = 0xzzzzzzzz , Carry_Out = 0xz , tb_Shifted_Data_Out = 0xzzzzzzzz , tb_Carry_Out = 0xz , Is_Same = 1
[        5620.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x3 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x1 , Data_In = 0x22d5f145 , Shifted_Data_Out = 0x116af8a2 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x116af8a2 , tb_Carry_Out = 0x0 , Is_Same = 1
[        5640.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x1 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x0 , Data_In = 0x8f63e41e , Shifted_Data_Out = 0x23d8f907 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x23d8f907 , tb_Carry_Out = 0x0 , Is_Same = 1
[        5660.000 ns] : Enable_In = 0x0 , Shift_Operation_In = 0x2 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x1 , Data_In = 0x55861fab , Shifted_Data_Out = 0xzzzzzzzz , Carry_Out = 0xz , tb_Shifted_Data_Out = 0xzzzzzzzz , tb_Carry_Out = 0xz , Is_Same = 1
[        5680.000 ns] : Enable_In = 0x0 , Shift_Operation_In = 0x7 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x1 , Data_In = 0x46d6a78d , Shifted_Data_Out = 0xzzzzzzzz , Carry_Out = 0xz , tb_Shifted_Data_Out = 0xzzzzzzzz , tb_Carry_Out = 0xz , Is_Same = 1
[        5700.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x4 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x0 , Data_In = 0x0c978d19 , Shifted_Data_Out = 0x0c978d19 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x0c978d19 , tb_Carry_Out = 0x0 , Is_Same = 1
[        5720.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x6 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x0 , Data_In = 0x62056bc4 , Shifted_Data_Out = 0x102b5e21 , Carry_Out = 0x1 , tb_Shifted_Data_Out = 0x102b5e21 , tb_Carry_Out = 0x1 , Is_Same = 1

--------------------------------------------------
Test Results :
--------------------------------------------------
Passed_Checks =         284
Failed_Checks =           0
Total_Checks  =         284
--------------------------------------------------

